"";"Effect";"Censoring....";"Participants";"Bias_NPPR";"Bias_Cox";"MSE_NPPR";"MSE_Cox"
"1";0;30;500;-0,003538301;-0,00543164240212796;0,009929148;0,0118991585304351
"2";0;30;100;-0,007437238;-0,000740942936823728;0,049264064;0,0627234269106644
"3";0;30;50;-0,001923462;-0,00565863732658984;0,108270037;0,138366958766961
"4";0;50;500;-0,001264989;-0,00370156703936906;0,015501014;0,0175119677357751
"5";0;50;100;-0,004633587;-0,00283459319794836;0,076328405;0,0855182746453851
"6";0;50;50;-0,023738405;-0,0197646349252268;0,157344798;0,178660924036264
"7";0;70;500;-0,00116577;0,00421745924698625;0,027846787;0,0266370253417646
"8";0;70;100;-0,015407686;-0,0196041520298893;0,141068241;0,150902236744933
"9";0;70;50;0,008623499;0,00722617671581052;0,301514128;0,34388763755214
"10";0,5;30;500;-0,127526749;0,00177979709497289;0,026821787;0,0124776551008778
"11";0,5;30;100;-0,127907555;0,0145693998348929;0,071071799;0,0630793815799077
"12";0,5;30;50;-0,125702349;0,0118606079193652;0,115578791;0,128470071522153
"13";0,5;50;500;-0,0914078;-0,00149376003225621;0,025568325;0,0181060333907767
"14";0,5;50;100;-0,082113137;0,0116202689552678;0,098292108;0,105640512480373
"15";0,5;50;50;-0,073352175;0,0341706961784376;0,188799925;0,216995995635965
"16";0,5;70;500;-0,061092779;-0,000628300411574578;0,035679806;0,0315995612844548
"17";0,5;70;100;-0,051179663;0,0147467560123268;0,167154157;0,162372281460453
"18";0,5;70;50;-0,075962153;0,06121041481157;0,34331094;0,397347991496387
"19";0,25;30;500;-0,066160487;0,00343599002792622;0,013534452;0,0114189406898897
"20";0,25;30;100;-0,066332082;-0,00489325250712258;0,051486576;0,0579341628717203
"21";0,25;30;50;-0,061823241;0,0181367764440223;0,098660186;0,124288386039751
"22";0,25;50;500;-0,051368545;-0,000203846250150908;0,017030902;0,0163310435426372
"23";0,25;50;100;-0,046610937;0,000462590009369823;0,074660099;0,0857229601126785
"24";0,25;50;50;-0,040922958;0,00608564774502729;0,174327666;0,201359727628714
"25";0,25;70;500;-0,033319179;0,00155332543741271;0,027328692;0,026714818314045
"26";0,25;70;100;-0,027805628;0,00392490780856369;0,14550962;0,148919617917451
"27";0,25;70;50;-0,021571804;0,0353073825404474;0,308721016;0,358473949587334
"28";-0,25;30;500;0,056279787;-0,00970473991350163;0,013566396;0,0123666651636359
"29";-0,25;30;100;0,072541358;-0,00318078099048413;0,053401959;0,0639475090707833
"30";-0,25;30;50;0,069478121;-0,00830311295092306;0,104625419;0,127742903868565
"31";-0,25;50;500;0,058243149;0,00934306550080571;0,017827289;0,0161955159724304
"32";-0,25;50;100;0,050266018;-0,00209915778359832;0,08683327;0,0945390893769554
"33";-0,25;50;50;0,04883856;-0,0104356059836903;0,148903739;0,183887931728699
"34";-0,25;70;500;0,029758603;0,00192430633454035;0,032215573;0,0310446474076222
"35";-0,25;70;100;0,007600204;-0,0236415046997322;0,152041693;0,161170343301917
"36";-0,25;70;50;0,055745826;-0,0162361778782547;0,320950736;0,344113825249207
"37";-0,5;30;500;0,119946306;-0,0124011013508789;0,02408893;0,0115009731437881
"38";-0,5;30;100;0,13754587;0,000469648367768138;0,070515414;0,0651194839434473
"39";-0,5;30;50;0,118744877;-0,0234435796453425;0,12034823;0,139988340634344
"40";-0,5;50;500;0,101098758;-0,000943325225453151;0,024064547;0,0155881600096162
"41";-0,5;50;100;0,095808201;-0,014711243066202;0,08486336;0,0895337946111589
"42";-0,5;50;50;0,119630993;-0,00638013824903183;0,165025763;0,182789883156484
"43";-0,5;70;500;0,060029604;-0,00166942066472042;0,033182164;0,0280628274352741
"44";-0,5;70;100;0,044696078;-0,0360551165078989;0,148255119;0,150578861880716
"45";-0,5;70;50;0,102782777;-0,0148915576110097;0,350032239;0,348467125745318
