"";"Underlying.Model";"Effect";"Participants";"Bias_NPPR";"Bias_Cox";"Bias_LL";"MSE_NPPR";"MSE_Cox";"MSE_LL"
"1";"PPR";0;500;0,00200156786605217;"0.00167225780961902";"0.00364581262804661";0,00626976520821372;"0.00819390601456164";"0.0208556514525434"
"2";"PPR";0;100;-0,00506967096484252;"-0.00309262040859192";"-0.00777653717729112";0,0303603178119785;"0.0449089696499462";"0.105461500260931"
"3";"PPR";0;50;-0,00940856100936981;"-0.00794845577804164";"-0.0153733796920801";0,0564256963768432;"0.0870255799228457";"0.207237655153076"
"4";"PPR";0,5;500;0,00617870682067401;"0.606485460060996";"0.50909241844668";0,0087370952197119;"0.377890846201726";"0.280670574490267"
"5";"PPR";0,5;100;-0,000438840772337912;"0.591272161415666";"0.513406834762249";0,0508420471235346;"0.405484847827581";"0.397514893364218"
"6";"PPR";0,5;50;-0,00109423306774387;"0.584940264561117";"0.532320806564533";0,0927039721299907;"0.454201228467283";"0.548916805978074"
"7";"PPR";0,25;500;-0,00114706156237329;"0.406238267662968";"0.248553451172038";0,00725800353194685;"0.173036877794092";"0.0826363131359486"
"8";"PPR";0,25;100;-0,00113124965685807;"0.39964080207589";"0.255148431647963";0,0364364549177321;"0.203638500643908";"0.178098689203914"
"9";"PPR";0,25;50;0,0138665054837038;"0.409002162707318";"0.296510058215594";0,0715607914500572;"0.258640222897739";"0.329173696959305"
"10";"PPR";-0,25;500;0,00271852137544612;"-0.40543272062852";"-0.24685389307618";0,00750501099122293;"0.172172156397057";"0.0827592134230678"
"11";"PPR";-0,25;100;-0,0142110860185337;"-0.416164617796536";"-0.282151912673527";0,0393011536728338;"0.219197699280977";"0.198804586842758"
"12";"PPR";-0,25;50;-0,0020380664392855;"-0.395542397882547";"-0.273188862903741";0,071022826092845;"0.24454995269892";"0.308221272706753"
"13";"PPR";-0,5;500;-0,0044262133378894;"-0.608561961137501";"-0.509296401271865";0,00934571976195697;"0.380150018791931";"0.282496460615939"
"14";"PPR";-0,5;100;0,00565523344838348;"-0.590494289680186";"-0.50942715925905";0,0445380661383707;"0.402792738312352";"0.379965587640854"
"15";"PPR";-0,5;50;0,0162643753041815;"-0.580217741973322";"-0.505513541838581";0,0883924723558802;"0.440583342896228";"0.504258107291563"
"16";"Weibull PH";0;500;0,00200156786605217;"-0.00621353640806129";"-";0,00626976520821372;"0.00825031120312228";"-"
"17";"Weibull PH";0;100;-0,00506967096484252;"-0.00272584336387967";"-";0,0303603178119785;"0.0449988598251655";"-"
"18";"Weibull PH";0;50;-0,00940856100936981;"-0.0040613362391428";"-";0,0564256963768432;"0.0953052335917741";"-"
"19";"Weibull PH";0,5;500;0,00617870682067401;"-0.00124541502992637";"-";0,0087370952197119;"0.00892462709271335";"-"
"20";"Weibull PH";0,5;100;-0,000438840772337912;"0.00341364943464595";"-";0,0508420471235346;"0.0450724949540589";"-"
"21";"Weibull PH";0,5;50;-0,00109423306774387;"0.0201007518767433";"-";0,0927039721299907;"0.10387040608248";"-"
"22";"Weibull PH";0,25;500;-0,00114706156237329;"0.00421062186757415";"-";0,00725800353194685;"0.00797727817952954";"-"
"23";"Weibull PH";0,25;100;-0,00113124965685807;"0.00276531512363359";"-";0,0364364549177321;"0.0419629533003887";"-"
"24";"Weibull PH";0,25;50;0,0138665054837038;"0.00922515721330108";"-";0,0715607914500572;"0.0958504260728609";"-"
"25";"Weibull PH";-0,25;500;0,00271852137544612;"-0.000274290191011106";"-";0,00750501099122293;"0.00749890697133619";"-"
"26";"Weibull PH";-0,25;100;-0,0142110860185337;"-0.00346998700569184";"-";0,0393011536728338;"0.041574671549862";"-"
"27";"Weibull PH";-0,25;50;-0,0020380664392855;"-0.0159770385496674";"-";0,071022826092845;"0.0978006930110472";"-"
"28";"Weibull PH";-0,5;500;-0,0044262133378894;"-0.00250436922721187";"-";0,00934571976195697;"0.00837172341365116";"-"
"29";"Weibull PH";-0,5;100;0,00565523344838348;"-0.00759900914258826";"-";0,0445380661383707;"0.0417393255368322";"-"
"30";"Weibull PH";-0,5;50;0,0162643753041815;"-0.010596210024821";"-";0,0883924723558802;"0.0973187670833543";"-"
"31";"LL PO";0;500;0,00370700766136319;"-";"0.00364581262804661";0,00654767337770796;"-";"0.0208556514525434"
"32";"LL PO";0;100;0,00568579161750803;"-";"-0.00777653717729112";0,0322755526207558;"-";"0.105461500260931"
"33";"LL PO";0;50;0,00399238525190209;"-";"-0.0153733796920801";0,0585268863040127;"-";"0.207237655153076"
"34";"LL PO";0,5;500;-0,254422717814609;"-";"0.50909241844668";0,0706831278791737;"-";"0.280670574490267"
"35";"LL PO";0,5;100;-0,250732668353352;"-";"0.513406834762249";0,0963580847086671;"-";"0.397514893364218"
"36";"LL PO";0,5;50;-0,255021952910642;"-";"0.532320806564533";0,126448138248448;"-";"0.548916805978074"
"37";"LL PO";0,25;500;-0,127272519572556;"-";"0.248553451172038";0,0227262611131845;"-";"0.0826363131359486"
"38";"LL PO";0,25;100;-0,117447898779363;"-";"0.255148431647963";0,044585002811375;"-";"0.178098689203914"
"39";"LL PO";0,25;50;-0,129384636386923;"-";"0.296510058215594";0,0798475870002801;"-";"0.329173696959305"
"40";"LL PO";-0,25;500;0,126629223141193;"-";"-0.24685389307618";0,0221744943350175;"-";"0.0827592134230678"
"41";"LL PO";-0,25;100;0,137290094315058;"-";"-0.282151912673527";0,0503258989837419;"-";"0.198804586842758"
"42";"LL PO";-0,25;50;0,126702529363225;"-";"-0.273188862903741";0,0779693471460851;"-";"0.308221272706753"
"43";"LL PO";-0,5;500;0,249067076054977;"-";"-0.509296401271865";0,0683261736252584;"-";"0.282496460615939"
"44";"LL PO";-0,5;100;0,2547465827843;"-";"-0.50942715925905";0,0964984929205908;"-";"0.379965587640854"
"45";"LL PO";-0,5;50;0,259167173701944;"-";"-0.505513541838581";0,130625141903251;"-";"0.504258107291563"
