"";"Underlying.Model";"Effect";"Participants";"Coverage_NPPR";"Coverage_Cox";"Coverage_LL"
"1";"PPR";0;500;95,2;"94.4";"99.9"
"2";"PPR";0;100;94,9;"93.4";"99.88"
"3";"PPR";0;50;97,4;"95.4";"99.75"
"4";"PPR";0,5;500;95,5;"0";"98.77"
"5";"PPR";0,5;100;93,4;"30.5";"99.41"
"6";"PPR";0,5;50;95,3;"65.3";"99.22"
"7";"PPR";0,25;500;95,1;"0.3";"99.69"
"8";"PPR";0,25;100;95,4;"57.9";"99.64"
"9";"PPR";0,25;50;96;"78.3";"99.5"
"10";"PPR";-0,25;500;94,9;"0.4";"99.68"
"11";"PPR";-0,25;100;94,1;"55.2";"99.88"
"12";"PPR";-0,25;50;96,3;"80.1";"99.87"
"13";"PPR";-0,5;500;95,8;"0";"98.66"
"14";"PPR";-0,5;100;95,4;"30.6";"99.62"
"15";"PPR";-0,5;50;95,7;"65.5";"100"
"16";"Weibull PH";0;500;95,5;"94.9";"-"
"17";"Weibull PH";0;100;94,3;"95";"-"
"18";"Weibull PH";0;50;94,9;"94.6";"-"
"19";"Weibull PH";0,5;500;49,5;"95.1";"-"
"20";"Weibull PH";0,5;100;84;"95.2";"-"
"21";"Weibull PH";0,5;50;91,1;"94.4";"-"
"22";"Weibull PH";0,25;500;80,6;"95.3";"-"
"23";"Weibull PH";0,25;100;94;"95.7";"-"
"24";"Weibull PH";0,25;50;93,8;"94.3";"-"
"25";"Weibull PH";-0,25;500;84,3;"95.3";"-"
"26";"Weibull PH";-0,25;100;93,1;"95.4";"-"
"27";"Weibull PH";-0,25;50;94,6;"94.7";"-"
"28";"Weibull PH";-0,5;500;50,7;"94.5";"-"
"29";"Weibull PH";-0,5;100;86,3;"97.1";"-"
"30";"Weibull PH";-0,5;50;91,2;"95.4";"-"
"31";"LL PO";0;500;94,6;"-";"96.3"
"32";"LL PO";0;100;95,4;"-";"95.3"
"33";"LL PO";0;50;96,1;"-";"96.01"
"34";"LL PO";0,5;500;10,7;"-";"97.5"
"35";"LL PO";0,5;100;71;"-";"95.8"
"36";"LL PO";0,5;50;83,4;"-";"95.88"
"37";"LL PO";0,25;500;64,2;"-";"96"
"38";"LL PO";0,25;100;89,9;"-";"96.7"
"39";"LL PO";0,25;50;93,1;"-";"95.3"
"40";"LL PO";-0,25;500;64,7;"-";"96"
"41";"LL PO";-0,25;100;88,9;"-";"95.7"
"42";"LL PO";-0,25;50;93;"-";"95.39"
"43";"LL PO";-0,5;500;11,8;"-";"95.5"
"44";"LL PO";-0,5;100;71,5;"-";"96.49"
"45";"LL PO";-0,5;50;82,2;"-";"96.38"
